iter,vanilla_3dgs_proj_loss,vanilla_3dgs_psnr,anatgs_oracle_proj_loss,anatgs_oracle_psnr
100,0.0132,10.92,0.5222,12.71
200,0.0089,10.54,3.2256,11.79
300,0.0063,10.35,0.3155,11.23
400,0.0043,10.25,0.1973,10.91
500,0.0043,10.19,0.2618,10.71
600,0.0048,10.14,0.2329,10.15
700,0.0037,10.1,0.101,10.23
800,0.0033,10.1,0.0823,10.3
900,0.0036,10.08,0.0632,10.4
1000,0.0031,10.07,0.0579,10.45
1100,0.0032,10.06,0.0381,10.54
1200,0.0033,10.05,0.0432,10.74
1300,0.0031,10.05,0.0277,10.69
1400,0.003,10.04,0.0191,10.74
1500,0.0032,10.04,0.0211,10.66
1600,0.0028,10.03,0.0116,10.71
1700,0.0032,10.03,0.0102,10.51
1800,0.0028,10.03,0.0099,10.41
1900,0.0028,10.01,0.0084,10.34
2000,0.0032,10.01,0.0068,10.27
2100,0.0024,10.01,0.0055,10.24
2200,0.0029,10.0,0.0055,10.22
2300,0.0026,10.0,0.0054,10.2
2400,0.0026,10.0,0.005,10.18
2500,0.0023,10.0,0.0048,10.17
2600,0.0026,10.0,0.0044,10.16
2700,0.0024,9.99,0.0042,10.14
2800,0.0025,9.99,0.0037,10.13
2900,0.0024,9.99,0.0039,10.12
3000,0.0029,9.99,0.004,10.12
3100,0.0024,9.99,0.0035,10.11
3200,0.0026,9.99,0.0037,10.1
3300,0.0022,9.99,0.0034,10.1
3400,0.0022,9.98,0.0031,10.08
3500,0.0023,9.98,0.0032,10.08
3600,0.0027,9.98,0.0034,10.07
3700,0.0023,9.98,0.0033,10.08
3800,0.0025,9.98,0.0033,10.07
